codigo,region,macro,pct_FUERZA POPULAR,votos_FUERZA POPULAR,pct_JUNTOS POR EL PERÚ,votos_JUNTOS POR EL PERÚ,actas_total,impugnadas,pendientes,avance,pred_FUERZA POPULAR,pred_JUNTOS POR EL PERÚ
010000,Amazonas,NORTE,35.543,69119,64.457,125348,1278,0,0,99.77,69278,125636
020000,Ancash,CENTRO,43.4,267471,56.6,348825,3472,0,0,98.7,270993,353419
030000,Apurímac,SUR,18.838,43132,81.162,185825,1317,0,0,99.24,43462,187248
040000,Arequipa,SUR,36.406,332286,63.594,580426,4215,0,0,99.38,334359,584047
050000,Ayacucho,CENTRO,20.683,66849,79.317,256362,1900,0,0,99.21,67381,258403
060000,Cajamarca,NORTE,33.226,244539,66.774,491442,4240,0,0,99.41,245990,494358
240000,Callao,LIMA METRO,65.606,394407,34.394,206765,2898,0,0,97.62,404022,211805
070000,Cusco,SUR,21.846,163777,78.154,585901,3983,0,41,97.67,167684,599878
080000,Huancavelica,CENTRO,18.598,36707,81.402,160659,1273,0,0,99.14,37025,162052
090000,Huánuco,CENTRO,35.86,139754,64.14,249970,2341,0,0,99.15,140952,252112
100000,Ica,CENTRO,51.911,279728,48.089,259131,2443,0,0,99.1,282268,261484
110000,Junín,CENTRO,45.069,321180,54.931,391453,3691,0,0,99.13,323998,394888
120000,La Libertad,NORTE,57.524,599677,42.476,442801,5302,0,0,99.3,603904,445922
130000,Lambayeque,NORTE,58.848,435721,41.152,304695,3590,0,0,99.64,437295,305795
140000,Lima,LIMA METRO,63.499,3944393,36.501,2267307,29247,0,0,96.87,4071841,2340566
150000,Loreto,ORIENTE,53.702,208975,46.298,180161,2697,0,102,94.99,219996,189663
160000,Madre de Dios,ORIENTE,30.794,29115,69.206,65432,507,0,0,99.01,29406,66086
170000,Moquegua,SUR,27.431,33353,72.569,88235,578,0,0,99.65,33470,88544
180000,Pasco,CENTRO,39.236,50699,60.764,78518,802,0,0,98.25,51602,79916
190000,Piura,NORTE,56.975,583221,43.025,440425,5281,0,0,98.92,589588,445233
200000,Puno,SUR,13.578,95674,86.422,608930,3397,0,0,99.29,96358,613284
210000,San Martín,NORTE,45.376,218127,54.624,262583,2534,0,0,99.45,219333,264035
220000,Tacna,SUR,28.635,65417,71.365,163032,1041,0,0,98.75,66245,165095
230000,Tumbes,NORTE,64.339,81960,35.661,45427,632,0,0,99.68,82223,45572
250000,Ucayali,ORIENTE,52.542,139624,47.458,126113,1564,0,7,97.25,143572,129679
